"crop","serving_size"
"Beans, dry","90.0"
"Cabbages and other brassicas","92.0"
"Chillies and peppers, green","48.333333333333336"
"Chillies and peppers, dry","6.571428571428571"
"Pumpkins, squash and gourds","114.4"
"Lettuce and chicory","80.23529411764706"
"Mangoes, mangosteens, guavas","146.25"
"Cereals (Rice Milled Eqv)","31.577540106951872"
"Rice, paddy","58.95061728395062"
"Spices, nes","9.767819148936168"
"Roots and Tubers,Total","76.75416666666668"
"Oilcrops, Oil Equivalent","48.25434782608695"
"Oranges","154.0"
"Tangerines, mandarins, clementines, satsumas","76.0"
"Beans, green","100.5813953488372"
"Bananas","40.0"
"Mushrooms and truffles","119.3157894736842"
"Carrots and turnips","80.5"
"Maize","101.375"
"Sweet potatoes","127.61111111111111"
"Lemons and limes","74.0"
"Plantains and others","92.0"
"Pulses, nes","91.88888888888889"
"Cauliflowers and broccoli","85.5"
"Quinoa","66.3529411764706"
"Tomatoes","80.25"
"Potatoes","129.94736842105263"
"Cassava","103.0"
"Yams","166.0"
"Melons, other (inc.cantaloupes)","178.14000000000001"
"Apples","162.7605633802817"
"Onions, shallots, green","30.0"
"Nuts, nes","31.11766004415011"
"Treenuts,Total","31.18533950617284"
"Cereals, nes","36.17283950617284"
"Cereals,Total","36.17283950617284"
"Papayas","34.0"
"Grapes","135.56666666666666"
"Barley","47.18181818181818"
"Spinach","104.42105263157895"
"String beans","100.5813953488372"
"Sorghum","23.6"
"Grapefruit (inc. pomelos)","154.0"
"Peaches and nectarines","86.25"
"Soybeans","29.5"
"Onions, dry","124.0"
"Leeks, other alliaceous vegetables","92.0"
"Eggplants (aubergines)","83.5"
"Oats","41.130434782608695"
"Millet","61.0"
"Pears","112.96153846153847"
"Grain, mixed","65.66666666666667"
"Coarse Grain, Total","65.66666666666667"
"Wheat","48.5"
"Cucumbers and gherkins","142.3"
"Groundnuts, with shell","30.508823529411767"
"Avocados","30.0"
"Lentils","47.29032258064516"
"Plums and sloes","70.0"
"Oil palm fruit","14.6"
"Figs","42.72794117647059"
"Pineapples","66.8"
"Berries nes","118.35520833333334"
"Coconuts","28.0"
"Peas, green","100.83333333333333"
"Peas, dry","100.83333333333333"
"Garlic","15.0"
"Watermelons","255.1"
"Anise, badian, fennel, coriander","0.8"
"Chick peas","109.06451612903226"
"Strawberries","123.66666666666667"
"Walnuts, with shell","31.11764705882353"
"Artichokes","100.0"
"Rye","38.857142857142854"
"Pepper (piper spp.)","0.5"
"Almonds, with shell","31.392452830188677"
"Maize, green","101.375"
"Okra","85.0"
"Taro (cocoyam)","59.5"
"Cashew nuts, with shell","30.885365853658534"
"Sesame seed","24.0625"
"Cashewapple","20.0"
"Nutmeg, mace and cardamoms","7.466666666666666"
"Dates","32.75"
"Pigeon peas","126.66666666666667"
"Apricots","37.6"
"Quinces","92.0"
"Rapeseed","32.0"
"Oilseeds nes","32.0"
"Mustard seed","15.0"
"Asparagus","84.28571428571429"
"Cherries","133.41176470588235"
"Bambara beans","50.0"
"Pistachios","29.953571428571433"
"Sunflower seed","32.11363636363637"
"Kiwi fruit","99.0"
"Ginger","4.0"
"Cinnamon (canella)","0.58"
"Brazil nuts, with shell","31.555555555555557"
"Citrus Fruit,Total","118.89189189189189"
"Cocoa, beans","12.5"
"Gooseberries","125.0"
"Coffee, green","32.0"
"Yautia (cocoyam)","134.0"
"Olives","22.927777777777777"
"Currants","45.666666666666664"
"Sugar cane","28.0"
"Chestnut","50.0"
"Cherries, sour","105.0"
"Raspberries","142.9181818181818"
"Tea","124.29307262569831"
"Cranberries","39.92307692307692"
"Blueberries","129.86"
"Vanilla","2.56"
"Pulses, Total","91.88888888888889"
"Cow peas","42.0"
"Hazelnuts","34.0"
