"crop","serving_size"
"Beans, dry","['beans']"
"Cabbages and other brassicas","['red cabbage', 'napa cabbage']"
"Chillies and peppers, green","['peppers', 'chili peppers', 'chile peppers']"
"Chillies and peppers, dry","['terra dolce, organic ancho dried chile peppers', 'terra dolce, organic chipotle dried chile peppers', ""organic bird's eye dried chile peppers"", 'dried guajillo chili peppers', 'organic dried chile peppers', 'organic habanero dried chile peppers', 'organic new mexico dried chile peppers']"
"Pumpkins, squash and gourds","['pumpkin', 'organic butternut squash', 'fresh yellow squash', 'organic zucchini squash', 'yellow squash', 'spaghetti squash', 'organic green squash', 'zucchini squash']"
"Lettuce and chicory","['romaine lettuce', 'green leaf lettuce', 'sweet baby lettuce', 'iceberg lettuce', 'just lettuce', 'baby butter lettuce', 'red leaf lettuce']"
"Mangoes, mangosteens, guavas","['organic mangoes', 'mangoes', 'fresh mangoes']"
"Cereals (Rice Milled Eqv)","['arrowhead mills, organic rice & shine hot cereal', 'cinni-mini crunch, sweetened wheat and rice cereal', 'chocolatey sweetened rice cereal', 'wheat & rice cereal', ""roundy's, toasted rice cereal"", 'crisp rice and wheat flakes with strawberry cereal', 'rice & wheat flakes cereal', 'toasted rice & wheat flakes cereal', 'rice biscuits cereal', 'brown rice farina hot cereal', 'crunchy rice & wheat flakes cereal', 'super cocoa munch sweetened rice and cereal', ""bob's red mill, brown rice farina creamy rice hot cereal"", 'chocolaty sweetened rice cereal', 'great value, cinnamon crunch sweetened wheat & rice cereal', 'weis quality, toasted rice cereal', 'key food, crisp rice cereal', 'crunchy rice squares, oven toasted rice cereal', 'weis, tasted crisp rice cereal', 'gmills cinn tst crnch sweetened whl wht rice cereal', 'shoprite, scrunchy, cocoa crispy rice sweetened rice cereal', 'oven toasted rice cereal', 'rice crispers cereal', 'cinnamon sweetened whole wheat & rice cereal', 'crackling sweetened rice cereal', 'meijer, rice squares oven toasted rice cereal', 'hannaford, crispy hexagons corn & rice cereal', 'meijer, crisp rice cereal', 'rice cereal', 'lightly toasted rice & wheat flakes cereal', 'toaster rice squares cereal', 'signature kitchens, rice pockets, oven toasted rice cereal', ""bunch o' squares, sweetened wheat & rice cereal"", 'gmills choc chex sweetened rice cereal', 'crispy corn & rice cereal', 'meijer, crisp rice toasted rice cereal', 'food club, rice squares toasted rice cereal', 'crispy rice toasted rice cereal', 'crispy rice & wheat flakes cereal', 'weis quality, confetti crisp, naturally flavored sweetened rice cereal', 'safeway kitchens, crispy rice cereal', 'shoprite, crisp corn & rice cereal', 'rice biscuits toasted rice cereal', 'organic brown rice crisps cereal', 'shoprite, crispy rice squares cereal', ""nature's path, oaty bites, oats, brown rice and corn cereal"", 'rice squares oven toasted rice cereal', 'whole grain rice & corn, lightly sweetened cereal', 'price rite, toasted oats cereal', 'sweetened whole wheat and rice cereal', 'weis quality, crunchy puffed rice cereal', 'rice & wheat flakes with almonds cereal', 'sweetened wheat & rice cereal', 'crispy toasted rice cereal', 'meijer, sweetened rice cereal', 'whole wheat and rice cereal', 'natural puffed rice cereal', 'millville, crispy rice, toasted rice cereal', 'healthy morning rice & wheat flakes cereal', 'cinnamon squares crispy, sweetened wheat & rice cereal', 'shurfine, puffed rice cereal', 'crispy rice cereal', 'shoprite, scrunchy, toasted rice cereal', 'springfield, crispy toasted rice cereal', 'oven toasted crisp rice cereal', 'cocoa diamonds, sweetened rice cereal', 'wegmans, rice squares cereal', 'crispy, sweetened, whole wheat & rice cereal', 'shurfine, rice squares cereal', 'corn, rice, flax, quinoa, buckwheat & amaranth cereal', 'hannaford, puffed rice cereal', 'kiggins, cocoa diamonds, sweetened rice cereal', ""nature's path, organic whole grain brown crispy rice cereal"", 'sweetened toasted rice cereal', 'great value, toasted rice cereal', 'toasted rice cereal', 'light toasted rice & wheat cereal', 'rice & corn cereal', 'shoprite, scrunchy, crispy colors sweetened rice cereal', 'great value, crisp rice cereal', 'crunchy, bite-size, toasted rice cereal', 'sweetened whole wheat & rice cereal', 'sweetened rice cereal', 'crispy wheat & rice flakes cereal', 'hy-vee, toasted rice oven toasted cereal', 'weis quality, crispy hexagons, crispy corn & rice cereal', 'organic cocoa crispy rice cereal', 'puffed rice cereal', 'chocolatey, sweetened rice cereal', 'crispy, oven toasted rice cereal', ""365 everyday value, morning o's organic whole grain oat & rice flour cereal"", 'sweetened wheat and rice cereal', 'quaker, puffed rice cereal', 'crunch sweetened whole wheat & rice cereal', 'h-e-b crispy rice, cereal', ""brookshire's, rice cereal"", 'crisp rice cereal', 'toasted brown rice cereal', 'toasted crispy rice cereal', 'hospitality, puffed rice cereal', 'health valley, rice crunch-ems cereal', 'kroger, rice bitz toasted rice cereal', 'sweetened whole grain wheat & rice square cereal', 'winn dixie, rice squares toasted rice cereal', 'rice krispies, toasted rice cereal', 'essential everyday, crunchy rice squares, oven toasted rice cereal']"
"Rice, paddy","['white rice', 'brown rice', 'yellow rice', 'jasmine rice']"
"Spices, nes","['rosemary', 'coriander seed', 'cardamom', 'paprika', 'cinnamon', 'mint', 'tarragon', 'juniper berry', 'peppermint', 'bay leaf', 'wasabi', 'parsley', 'lavender', 'pepper', 'cilantro', 'ginger', 'sage', 'turmeric', 'chili pepper', 'star anise', 'garlic', 'horseradish', 'licorice', 'basil', 'mustard', 'sesame seed', 'oregano', 'savory', 'thyme', 'cayenne pepper', 'chives', 'poppy seed', 'celery seed']"
"Roots and Tubers,Total","['carrots', 'sweet potato', 'ginger', 'cassava', 'yams', 'turmeric']"
"Oilcrops, Oil Equivalent","['olives', 'sesame seed', 'corn']"
"Oranges","['oranges']"
"Tangerines, mandarins, clementines, satsumas","['mandarins']"
"Beans, green","['green beans']"
"Bananas","['bananas']"
"Mushrooms and truffles","['fresh mushrooms', 'whole mushrooms', 'mushrooms', 'fungus among us, organic portabello mushrooms', 'sliced mushrooms', 'pieces & stems mushrooms']"
"Carrots and turnips","['diced turnips', 'carrots', 'cut turnips']"
"Maize","['corn']"
"Sweet potatoes","['sweet potatoes']"
"Lemons and limes","['lemons']"
"Plantains and others","['ripe plantains']"
"Pulses, nes","['lentils', 'garbanzo beans', 'peas', 'chickpeas']"
"Cauliflowers and broccoli","['broccoli', 'cauliflower']"
"Quinoa","['quinoa']"
"Tomatoes","['tomatoes']"
"Potatoes","['potatoes']"
"Cassava","['cassava']"
"Yams","['yams']"
"Melons, other (inc.cantaloupes)","['watermelon', 'honey dew melon', 'cantaloupe', 'galia melon']"
"Apples","['fuji apples', 'honeycrisp apples', 'granny smith apples', 'apples', 'gala apples', 'golden delicious apples', 'red delicious apples', 'michigan apples', 'mcintosh apples']"
"Onions, shallots, green","['green onions']"
"Nuts, nes","['cashews', 'walnuts', 'pine nuts', 'almonds', 'pistachios', 'peanuts', 'brazil nuts', 'pecans']"
"Treenuts,Total","['cashews', 'walnuts', 'almonds', 'pistachios', 'brazil nuts', 'pecans']"
"Cereals, nes","['cereal']"
"Cereals,Total","['cereal']"
"Papayas","['tacoma boys, diced papaya', 'whole foods market, diced papaya']"
"Grapes","['red grapes', 'thompson grapes', 'red seedless grapes', 'green seedless grapes']"
"Barley","['barley', 'culinaria, pure black barley', 'pearled barley', 'gefen, pearl barley']"
"Spinach","['spinach']"
"String beans","['green beans']"
"Sorghum","['popped sorghum', 'puffed sorghum', 'pure sorghum']"
"Grapefruit (inc. pomelos)","['texas choice grapefruit']"
